card_player,card_series,card_detail,card_year,stack
Ken Griffey Jr,Topps Chrome, Update,2020,RDL20
Ronald Acuna Jr., Topps Chrome, Update, 2020,AaronVanDee93
Gavin Lux, Topps Chrome, Update,2020,RDL20
Clayton Kershaw, Topps Chrome, Update, 2020,AaronVanDee93
Randy Arozarena, Topps Chrome, Update, 2020,StarSportsCard_
Lebron James, Mosaic, MVP, 2020,ShaunSlezak
Julian Edelman, Mosaic, Got Game, 2020,GreybrewH
DK Metcalf, Mosaic, Got Game, 2020,euphoriccards
Tua Tagovailoa, Illusions, Clear Variant, 2020,euphoriccards
Tee Higgins, Prizm, Emergent, 2020,Szone_cards
Laviska Shenault Jr, Mosaic, Base, 2020,Szone_cards
Russell Wilson, Mosaic, Will to Win, 2020,TSBoss14
Jacob DeGrom, Stadium Club Chrome, Base, 2020,PatrickMcGill35
Pete Alonso,Topps Chrome, Home Run Derby, 2020,PatrickMcGill35
Brendan McKay,Topps Chrome, Rookie Debut, 2020,PatrickMcGill35
Vaporeon, Black Star Promo, SWSH072, 2019,PatrickMcGill35
Metapod, Evolutions, Reverse Holo, 2016,PatrickMcGill35








